name,value
Development^Production Dept^Scriptwriter^Creative & Communicative Skills^Script Development Skills,1
Development^Production Dept^Scriptwriter^Creative & Communicative Skills^Story crafted for VP,1
Development^Production Dept^Scriptwriter^Creative & Communicative Skills^Story: response to technical possibilities,1
Development^Production Dept^Director^Creative & Communicative Skills^Directorial VP Skills,1
Development^Production Dept^Director^Creative & Communicative Skills^Script Development Skills,1
Development^Production Dept^Director^Creative & Communicative Skills^Story crafted for VP,1
Development^Production Dept^Director^Creative & Communicative Skills^Story: response to technical possibilities,1
Development^Production Dept^Director^Technical Skills^Preproduction early visualisation,1
Development^Production Dept^Director^Technical Skills^Unreal: Sequencer,1
Development^Production Dept^Director^Technical Skills^VR virtual scouting,1
Development^Production Dept^Director^Technical Skills^Digital storyboards,1
Development^Production Dept^1st Assistant Director^Creative & Communicative Skills^Schedule management,1
Development^Production Dept^1st Assistant Director^Creative & Communicative Skills^Set space management,1
Development^Production Dept^1st Assistant Director^Creative & Communicative Skills^Set actors management,1
Development^Production Dept^2nd Assistant Director,1
Development^Production Dept^Production Dept^Creative & Communicative Skills^Senior Team VP Budget & Planning Skills^,1
Development^Production Dept^Producer^Creative & Communicative Skills^Budgeting and Bidding,1
Development^Production Dept^Producer^Creative & Communicative Skills^Interviewing HoDs,1
Development^Production Dept^Producer^Creative & Communicative Skills^Early planning of workflows & interactions,1
Development^Production Dept^Producer^Creative & Communicative Skills^Casting,1
Development^Production Dept^Producer^Creative & Communicative Skills^Sourcing VP skills,1
Development^Production Dept^Producer^Creative & Communicative Skills^Understanding hidden R&D costs,1
Development^Production Dept^Line Producer,1
Development^Production Dept^Production Dept^Creative & Communicative Skills^Integration of Film-Games Cultures & Tools^,1
Development^Production Dept^Production Manager^Creative & Communicative Skills^Technical talent casting,1
Development^Production Dept^Production Manager^Creative & Communicative Skills^Aptitudes & interests profiling,1
Development^Production Dept^Production Manager^Creative & Communicative Skills^Support for HR on new VP roles,1
Development^Production Dept^Production Manager^Creative & Communicative Skills^Provision of cross-training beyond home discipline,1
Development^Production Dept^Production Manager^Technical Skills^Workflow Integration,1
